frame_interval,time_interval,msd,msd_std
1.0,1.0,14.540757729873981,0.30934575212991516
2.0,2.0,25.916854582980882,0.5768157881088002
3.0,3.0,36.29619941265079,0.8349832588640747
4.0,4.0,46.217291074485104,1.13073043311549
5.0,5.0,55.0953358568083,1.402949005124729
6.0,6.0,63.60464849400225,1.665658799840681
7.0,7.0,70.90827180204973,1.9785801905175575
8.0,8.0,77.83836176240558,2.388816124318045
9.0,9.0,86.46975366441568,2.876534837952296
10.0,10.0,91.59558520322295,3.2982099854171887
11.0,11.0,94.67693341382935,3.4464482815285695
12.0,12.0,97.72324185376695,3.6046729615003907
13.0,13.0,103.17304136827858,4.181135314845376
14.0,14.0,108.23239576187017,4.705392524267765
15.0,15.0,110.10072701924553,5.168266958591139
16.0,16.0,107.8122676184562,5.851212486561847
17.0,17.0,88.72220607887145,5.712860482225565
